669;11;24.11.2023 21:20:10
669;11;24.11.2023 21:20:10
272;0;24.11.2023 21:20:35
272;0;24.11.2023 21:20:35
254;0;24.11.2023 21:20:44
225;0;24.11.2023 21:22:18
269;2;24.11.2023 21:22:52
373;3;24.11.2023 21:26:34
1169;6;24.11.2023 21:27:12
1169;6;24.11.2023 21:27:12
350;4;24.11.2023 21:28:08
271;1;24.11.2023 21:28:54
340;0;24.11.2023 21:29:17
398;4;24.11.2023 21:29:49
222;0;24.11.2023 21:30:14
233;1;24.11.2023 21:31:02
282;2;24.11.2023 21:31:43
399;2;24.11.2023 21:32:08
310;0;24.11.2023 21:32:31
585;5;24.11.2023 21:33:21
344;5;24.11.2023 21:34:06
438;2;24.11.2023 21:38:18
314;6;24.11.2023 21:44:28
314;6;24.11.2023 21:44:28
416;1;24.11.2023 21:45:27
248;1;24.11.2023 21:46:35
252;2;24.11.2023 21:47:53
299;1;24.11.2023 21:50:26
251;0;24.11.2023 21:51:24
725;5;24.11.2023 21:52:31
364;4;24.11.2023 21:53:12
276;5;24.11.2023 21:53:44
276;5;24.11.2023 21:53:44
342;2;24.11.2023 21:54:12
384;1;24.11.2023 22:06:53
411;6;24.11.2023 22:07:08
320;2;24.11.2023 22:07:27
409;9;24.11.2023 22:07:38
409;9;24.11.2023 22:07:38
292;2;24.11.2023 22:07:58
234;2;24.11.2023 22:08:06
617;9;24.11.2023 22:08:21
251;2;24.11.2023 22:44:09
2954;53;24.11.2023 23:07:51
2954;53;24.11.2023 23:07:51
265;2;24.11.2023 23:10:04
265;2;24.11.2023 23:10:04
31;0;24.11.2023 23:10:07
31;0;24.11.2023 23:10:07
28;0;24.11.2023 23:11:09
1;0;24.11.2023 23:11:12
1;0;24.11.2023 23:11:12
1;0;24.11.2023 23:11:12
1;0;24.11.2023 23:11:12
1;0;24.11.2023 23:11:13
1;0;24.11.2023 23:11:13
1;0;24.11.2023 23:11:15
1;0;24.11.2023 23:11:15
1;0;24.11.2023 23:11:16
1;0;24.11.2023 23:11:16
1;0;24.11.2023 23:11:17
1;0;24.11.2023 23:11:17
1326;21;24.11.2023 23:23:49
1326;21;24.11.2023 23:23:49
5291;94;24.11.2023 23:25:36
5291;94;24.11.2023 23:25:36
3273;52;24.11.2023 23:26:34
